area_id,city,province,district,subdistrict,h3_index,centroid_latitude,centroid_longitude,population_count,population_density,household_count,productive_age_ratio,avg_income_index,economic_activity_index,urbanization_level,data_year,data_source
AREA_SBY_007,Surabaya,Jawa Timur,Rungkut,Medokan Ayu,H3_SBY_007,-7.319651,112.762927,51610,18448.45,14031,0.665,61.28,88.11,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_008,Surabaya,Jawa Timur,Wiyung,Jajar Tunggal,H3_SBY_008,-7.311938,112.689429,39017,10091.3,10656,0.709,65.4,69.12,Medium,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_009,Surabaya,Jawa Timur,Wonokromo,Darmo,H3_SBY_009,-7.300416,112.722236,36883,13134.35,11634,0.739,87.06,48.24,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_010,Surabaya,Jawa Timur,Tandes,Tandes,H3_SBY_010,-7.267817,112.703938,51495,20005.38,14649,0.593,88.39,86.1,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_011,Surabaya,Jawa Timur,Rungkut,Kalirungkut,H3_SBY_011,-7.310757,112.763635,38171,17082.0,10319,0.665,82.05,56.63,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_012,Surabaya,Jawa Timur,Tandes,Balongsari,H3_SBY_012,-7.271129,112.66739,30886,11472.98,9618,0.585,71.9,78.05,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_013,Surabaya,Jawa Timur,Wonokromo,Darmo,H3_SBY_013,-7.275756,112.767357,49731,19996.76,13319,0.672,79.76,83.46,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_014,Surabaya,Jawa Timur,Gubeng,Airlangga,H3_SBY_014,-7.286902,112.748987,24536,20667.48,5932,0.687,80.36,59.98,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_015,Surabaya,Jawa Timur,Sukolilo,Gebang Putih,H3_SBY_015,-7.281809,112.791772,52974,9691.49,14905,0.647,68.85,63.26,Medium,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_016,Surabaya,Jawa Timur,Rungkut,Medokan Ayu,H3_SBY_016,-7.309929,112.784716,42756,9474.57,13445,0.709,71.44,76.56,Medium,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_017,Surabaya,Jawa Timur,Rungkut,Kalirungkut,H3_SBY_017,-7.315174,112.779585,52964,11911.12,14068,0.613,86.18,70.95,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_018,Surabaya,Jawa Timur,Wiyung,Jajar Tunggal,H3_SBY_018,-7.339133,112.688584,38384,18139.55,11118,0.613,59.08,47.15,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_019,Surabaya,Jawa Timur,Sukolilo,Gebang Putih,H3_SBY_019,-7.279821,112.805781,41670,19000.35,11418,0.685,75.82,57.09,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_020,Surabaya,Jawa Timur,Gubeng,Gubeng,H3_SBY_020,-7.268377,112.769626,53044,19672.37,12661,0.733,68.58,84.44,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_021,Surabaya,Jawa Timur,Tegalsari,Tegalsari,H3_SBY_021,-7.266432,112.739432,37942,13478.41,10038,0.687,72.74,67.71,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_022,Surabaya,Jawa Timur,Sukolilo,Menur Pumpungan,H3_SBY_022,-7.264147,112.799363,37109,18674.01,9049,0.597,49.33,52.0,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_023,Surabaya,Jawa Timur,Tandes,Manukan Kulon,H3_SBY_023,-7.258663,112.688283,30400,12599.7,7579,0.593,89.63,75.55,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_024,Surabaya,Jawa Timur,Tegalsari,Keputran,H3_SBY_024,-7.278801,112.741011,41541,20727.95,9958,0.723,86.36,55.8,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_025,Surabaya,Jawa Timur,Sukolilo,Keputih,H3_SBY_025,-7.273539,112.787864,28877,20145.2,8380,0.734,71.42,80.36,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_026,Surabaya,Jawa Timur,Tandes,Tandes,H3_SBY_026,-7.256624,112.672579,47759,17876.94,12031,0.69,48.53,80.04,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_027,Surabaya,Jawa Timur,Tandes,Manukan Kulon,H3_SBY_027,-7.239536,112.68393,31956,18402.58,8887,0.617,69.89,62.65,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_028,Surabaya,Jawa Timur,Tegalsari,Tegalsari,H3_SBY_028,-7.259957,112.744424,48686,16606.81,12440,0.631,49.79,45.24,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_029,Surabaya,Jawa Timur,Tandes,Manukan Kulon,H3_SBY_029,-7.245857,112.689143,26049,16163.09,6573,0.718,45.56,64.45,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_SBY_030,Surabaya,Jawa Timur,Tandes,Tandes,H3_SBY_030,-7.245398,112.694309,39158,10751.22,11924,0.624,58.49,81.79,Medium,2026,Dummy BPS-like + synthetic geospatial grid
